id,census_name,name
51570,Jaladanki,Jaladanki
51600,Kaligiri,Kaligiri
51740,Kaluvoya,Kaluvoya
45450,Kandukur,Kandukur
51580,Kavali,Kavali
51690,Kodavalur,Kodavaluru
51560,Kondapuram,Kondapuram
51780,Kovur,Kovuru
51500,Lingasamudram,Lingasamudram
51830,Manubolu,Manubolu
51630,Marripadu,Marripadu
51810,Muthukur,Muttukuru
51770,Nellore,Nellore Urban
51771,Nellore,Nellore Rural
51760,Podalakur,Podalakuru
51750,Rapur,Rapuru
44450,Saidapur,Saidapuramu
47050,Sangam,Sangam
51530,Seetharamapuram,Sitarampuramu
51800,Thotapalligudur,Thotapalligudur
51540,Udayagiri,Udayagiri
51520,Ulavapadu,Ulavapadu
51550,Varikuntapadu,Varikuntapadu
51820,Venkatachalam,Venkatachalam
51680,Vidavalur,Vidavaluru
51610,Vinjamur,Vinjamuru
51470,Voletivaripalem,Voletivaripalem
53540,Agali,Agali
53610,Amadagur,Amadagur
53510,Amarapuram,Amarapuram
53370,Bathalapalle,Bathalapalle
53450,Bukkapatnam,Bukkapatnam
53470,Chennekothapalle,Chennekothapalle
53660,Chilamathur,Chilamathur
53360,Dharmavaram,Dharmavaram
53420,Gandlapenta,Gandlapenta
53620,Gorantla,Gorantla
53520,Gudibanda,Gudibanda
53640,Hindupur,Hindupur
53430,Kadiri,Kadiri
53350,Kanaganapalle,Kanaganapalle
53460,Kothacheruvu,Kothacheruvu
53650,Lepakshi,Lepakshi
53500,Madakasira,Madakasira
53390,Mudigubba,Mudigubba
53590,Nallacheruvu,Nallacheruvu
53440,Nallamada,Nallamada
53410,Nambulipulikunta,Nambulipulikunta
53580,Obuladevaracheruvu,Obuladevaracheruvu
53550,Parigi,Parigi
53560,Penukonda,Penukonda
53570,Puttaparthi,Puttaparthi
53480,Ramagiri,Ramagiri
53490,Roddam,Roddam
53530,Rolla,Rolla
53630,Somandepalle,Somandepalle
53380,Tadimarri,Tadimarri
53400,Talupula,Talupula
53600,Tanakal,Tanakal
47980,Amadalavalasa,Amadalavalasa
47940,Burja,Burja
